rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1501822128006614923,,39366,,1501822128,6614923,"""map""",,,1296.35058465,-1771.21596878,-5.69047048427,,0.00183224016331,0.0149449719903,0.587771373203,0.808886953505
1501822128056613922,,39787,,1501822128,56613922,"""map""",,,1296.38990986,-1771.086148,-5.69263461118,,0.00207054458066,0.0149919830075,0.587787500695,0.808873789486
1501822128106631994,,40119,,1501822128,106631994,"""map""",,,1296.42821855,-1770.95357449,-5.69561214976,,0.00215590263836,0.0149704642855,0.587813165336,0.80885531459
1501822128156629085,,40532,,1501822128,156629085,"""map""",,,1296.46819861,-1770.82159188,-5.69794606989,,0.00223311249855,0.0148657826357,0.587830741092,0.808844262848
1501822128201622009,,40903,,1501822128,201622009,"""map""",,,1296.50339018,-1770.70047275,-5.70023211989,,0.00239103769442,0.0147000536013,0.587895676649,0.808799644375
1501822128256637096,,41298,,1501822128,256637096,"""map""",,,1296.54687546,-1770.55115293,-5.7030842461,,0.00282233407862,0.0145779594837,0.588005477871,0.808720641211
1501822128301645040,,41674,,1501822128,301645040,"""map""",,,1296.58370545,-1770.43020257,-5.70524024598,,0.00308678675215,0.0144898446746,0.588061484479,0.808680534341
1501822128351634979,,42055,,1501822128,351634979,"""map""",,,1296.6235751,-1770.29206839,-5.70733751573,,0.0031624360792,0.0144707388301,0.588135185752,0.808626984459
1501822128406636953,,42514,,1501822128,406636953,"""map""",,,1296.66964665,-1770.13981929,-5.70942479064,,0.00310991577109,0.0145713682849,0.58818974019,0.808585699345
1501822128456650972,,42886,,1501822128,456650972,"""map""",,,1296.71052713,-1769.99927637,-5.7123782203,,0.00302669909379,0.0146740060452,0.588287983752,0.808512684385
1501822128506664037,,43266,,1501822128,506664037,"""map""",,,1296.75170864,-1769.85765281,-5.71480104949,,0.00298718722455,0.0147072979786,0.588393017052,0.808435791874
1501822128556667089,,43704,,1501822128,556667089,"""map""",,,1296.7948165,-1769.71605276,-5.71762681726,,0.00297626892566,0.0146461053385,0.588458957338,0.808388946579
1501822128601646900,,44005,,1501822128,601646900,"""map""",,,1296.83223566,-1769.58689685,-5.72074282191,,0.00302545960283,0.0144610657719,0.588560286667,0.808318324133
1501822128661633014,,44292,,1501822128,661633014,"""map""",,,1296.88248799,-1769.41361202,-5.72608350133,,0.00306215739127,0.014001097839,0.588713563465,0.808214657528
1501822128761656045,,45047,,1501822128,761656045,"""map""",,,1296.96912018,-1769.12412347,-5.7354531329,,0.00264405730762,0.0138000208608,0.588899415291,0.808084183149
1501822128811671972,,45480,,1501822128,811671972,"""map""",,,1297.01366387,-1768.97855111,-5.73988793378,,0.00288697038461,0.0146403564726,0.588908843788,0.808061692615
1501822128861666917,,45897,,1501822128,861666917,"""map""",,,1297.05586848,-1768.82992001,-5.74243026514,,0.00328873284331,0.0156709712974,0.588858160661,0.808077763286
1501822128906665086,,46305,,1501822128,906665086,"""map""",,,1297.09569263,-1768.69632358,-5.7438959445,,0.0037048690596,0.0165590326454,0.588798253647,0.808101905013
1501822128956674098,,46738,,1501822128,956674098,"""map""",,,1297.13850769,-1768.54547561,-5.74521405387,,0.0041166273079,0.0174460586799,0.588835920814,0.808053801906
1501822129011672019,,47097,,1501822129,11672019,"""map""",,,1297.1866923,-1768.37843223,-5.74664191404,,0.00468014127129,0.0180233484145,0.588955204573,0.807951126119
1501822129051676034,,47467,,1501822129,51676034,"""map""",,,1297.22406231,-1768.25775728,-5.74767055937,,0.00480079207221,0.0181317912993,0.588956305088,0.807947189634
1501822129111680030,,47918,,1501822129,111680030,"""map""",,,1297.27774679,-1768.07288771,-5.75002344018,,0.00436509197612,0.0177956646915,0.588946608548,0.80796420253
1501822129151683092,,48296,,1501822129,151683092,"""map""",,,1297.31628587,-1767.95042929,-5.75084741835,,0.00397360236978,0.0175648872109,0.588904347145,0.808002076195
1501822129211683988,,48671,,1501822129,211683988,"""map""",,,1297.37149052,-1767.76268062,-5.75185191631,,0.00348768543329,0.0174412420147,0.588884056873,0.808021786023
1501822129261677026,,49008,,1501822129,261677026,"""map""",,,1297.41760667,-1767.60482058,-5.75309887209,,0.00295283408439,0.0171653285516,0.58895510696,0.807978040699
1501822129311686038,,49414,,1501822129,311686038,"""map""",,,1297.46613609,-1767.44767341,-5.75500845492,,0.00249135605321,0.0168102325107,0.589046414914,0.807920497515
1501822129361699104,,49778,,1501822129,361699104,"""map""",,,1297.51292222,-1767.28760723,-5.75746048853,,0.00227144675416,0.0165459222027,0.589187115469,0.807824000605
